Link, Pic, Address, Rooms, Sqrm, Floor, Type, Price
http://ss.com/msg/lv/real-estate/flats/riga/centre/aennl.html,https://i.ss.com/gallery/2/376/93824/18764736.800.jpg,centrsÈaka 42,1,18,5,M. ìim.,90  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/gpifk.html,https://i.ss.com/gallery/2/351/87606/17521135.800.jpg,centrsTomsona 39,3,283,7,Jaun.,1500  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/agfhn.html,https://i.ss.com/gallery/2/375/93522/18704218.800.jpg,centrsÈaka 83,2,63,5,P. kara,379  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/befjbf.html,https://i.ss.com/gallery/2/250/62449/12489744.800.jpg,centrsÈaka 83,2,68,2,P. kara,330  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/hfdei.html,https://i.ss.com/gallery/2/362/90402/18080363.800.jpg,centrsSadovòikova 17,1,30,5,P. kara,200  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/apxhb.html,https://i.ss.com/gallery/2/376/93821/18764087.800.jpg,centrsBrîvîbas 172,1,22,3,P. kara,240  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/acdog.html,https://i.ss.com/gallery/2/376/93820/18763849.800.jpg,centrsVesetas 28,2,43,2,Hruðè.,350  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/bfxkf.html,https://i.ss.com/gallery/2/376/93817/18763236.800.jpg,centrsÈaka 113,2,42,4,P. kara,390  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/aghbi.html,https://i.ss.com/gallery/2/376/93818/18763543.800.jpg,centrsBlaumaòa 21,2,75,5,P. kara,500  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/aeogb.html,https://i.ss.com/gallery/2/374/93338/18667590.800.jpg,PurvciemsLaimdotas 57,1,32,3,Specpr.,280  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/teika/aonxe.html,https://i.ss.com/gallery/2/374/93336/18667051.800.jpg,TeikaLaimdotas 57,1,32,3,Specpr.,280  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/sarkandaugava/cmkpb.html,https://i.ss.com/gallery/2/376/93816/18763146.800.jpg,SarkandaugavaViestura pr. 59,2,36,4,Specpr.,350  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/aedcx.html,https://i.ss.com/gallery/2/376/93817/18763345.800.jpg,Ðampçteris-PleskodâleLielirbes 11,2,68,11,Jaun.,500  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/darzciems/dghml.html,https://i.ss.com/gallery/2/229/57188/11437538.800.jpg,DârzciemsNîcgales 64,1,37,2,Specpr.,240  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/bbxlh.html,https://i.ss.com/gallery/2/295/73521/14704119.800.jpg,PurvciemsIeriíu 58,1,38,2,Specpr.,205  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/plyavnieki/hngph.html,https://i.ss.com/gallery/2/376/93815/18762852.800.jpg,PïavniekiSalnas 34,3,62,4,602.,350  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/dedlc.html,https://i.ss.com/gallery/2/305/76219/15243644.800.jpg,centrsRûpniecîbas 44,3,78,6,Jaun.,850  €/mçn.
