Link, Pic, Address, Rooms, Sqrm, Floor, Type, Price
http://ss.com/msg/lv/real-estate/flats/riga/centre/cmlkn.html,https://i.ss.com/gallery/2/246/61403/12280472.800.jpg,centrsStabu 116,1,12,2,P. kara,195  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/djhex.html,https://i.ss.com/gallery/2/360/89777/17955206.800.jpg,centrsÈaka 59,1,12,2,P. kara,230  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/egejg.html,https://i.ss.com/gallery/2/360/89776/17955179.800.jpg,centrsLâèplçða 112,1,12,5,P. kara,210  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/acncn.html,https://i.ss.com/gallery/2/360/89776/17955145.800.jpg,centrsValdemâra 123,1,12,3,Specpr.,195  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/kengarags/epexe.html,https://i.ss.com/gallery/2/360/89776/17955063.800.jpg,ÍengaragsLokomotîves 56,1,31,4,LT proj.,210  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/plyavnieki/cmnck.html,https://i.ss.com/gallery/2/213/53132/10626295.800.jpg,PïavniekiDeglava 164,1,36,5,Jaun.,240  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/agcji.html,https://i.ss.com/gallery/2/360/89775/17954831.800.jpg,centrsBarona 49,2,57,7,P. kara,600  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/teika/cjflp.html,https://i.ss.com/gallery/2/243/60626/12125082.800.jpg,TeikaBajâru 8,3,63,2,Renov.,650  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/kengarags/edjdf.html,https://i.ss.com/gallery/2/354/88486/17697109.800.jpg,ÍengaragsMaskavas 250,1,18,3,LT proj.,150  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/ajfeb.html,https://i.ss.com/gallery/2/360/89772/17954329.800.jpg,Ðampçteris-PleskodâleVentspils 65,1,32,2,Renov.,35  €/dienâ
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/biemc.html,https://i.ss.com/gallery/2/360/89772/17954312.800.jpg,PurvciemsZvaigznâja g. 16,1,27,5,LT proj.,220  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/agenskalns/afknm.html,https://i.ss.com/gallery/2/360/89772/17954329.800.jpg,ÂgenskalnsVentspils 65,1,32,2,Renov.,35  €/dienâ
http://ss.com/msg/lv/real-estate/flats/riga/imanta/coehi.html,https://i.ss.com/gallery/2/360/89771/17954123.800.jpg,ImantaZentenes 18,1,30,1,602.,200  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/kengarags/bbbkd.html,https://i.ss.com/gallery/2/206/51283/10256500.800.jpg,ÍengaragsLokomotîves 84,1,30,5,LT proj.,210  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/ziepniekkalns/djfpk.html,https://i.ss.com/gallery/2/360/89768/17953432.800.jpg,ZiepniekkalnsOzolciema 40,1,34,3,602.,260  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/other/cednl.html,https://i.ss.com/gallery/2/360/89762/17952283.800.jpg,CitsVienibac 62,1,33,1,Renov.,240  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/ajkoc.html,https://i.ss.com/gallery/2/359/89607/17921334.800.jpg,centrsStrçlnieku 2,4,108,6,P. kara,1200  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/agnge.html,https://i.ss.com/gallery/2/359/89612/17922202.800.jpg,centrsStrçlnieku 2,2,58,3,P. kara,500  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/ahjfm.html,https://i.ss.com/gallery/1/163/40662/8132228.800.jpg,centrsStrçlnieku 2,2,48,5,P. kara,450  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/clkjd.html,https://i.ss.com/gallery/2/315/78620/15723871.800.jpg,PurvciemsStirnu 55,1,30,1,LT proj.,200  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/ampnn.html,https://i.ss.com/gallery/2/354/88476/17695133.800.jpg,VecmîlgrâvisEmmas 3,2,50,4,LT proj.,210  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/ilguciems/agfxg.html,https://i.ss.com/gallery/2/360/89761/17952076.800.jpg,IïìuciemsSkujenes 9,2,47,1,Hruðè.,330  €/mçn.
