Link, Pic, Address, Rooms, Sqrm, Floor, Type, Price
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/apjoh.html,https://i.ss.com/gallery/2/306/76426/15285050.800.jpg,PurvciemsNîcgales 33,2,60,4,119.,330  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/teika/dbibj.html,https://i.ss.com/gallery/2/370/92316/18463130.800.jpg,TeikaLaimdotas 5,1,25,2,Priv. m.,200  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/teika/dxkxc.html,https://i.ss.com/gallery/2/370/92316/18463090.800.jpg,TeikaVairoga 29,1,33,5,103.,230  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/dzeguzhkalns/beknm.html,https://i.ss.com/gallery/2/370/92316/18463083.800.jpg,DzeguþkalnsDzirciema 37,2,50,1,LT proj.,340  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/aicbb.html,https://i.ss.com/gallery/2/366/91492/18298350.800.jpg,Maskavas priekðpilsçtaKrâslavas 34,1,26,4,P. kara,240  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/vecaki/bdbxk.html,https://i.ss.com/gallery/2/346/86368/17273427.800.jpg,VecâíiVecâíu pr. 82,2,200,4,Jaun.,800  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/tornjakalns/aedxl.html,https://i.ss.com/gallery/1/122/30305/6060907.800.jpg,ToròakalnsBuru 15,1,32,1,P. kara,210  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/sarkandaugava/akhbn.html,https://i.ss.com/gallery/2/363/90527/18105361.800.jpg,SarkandaugavaSarkandaugavas 6,1,30,5,P. kara,130  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/adhij.html,https://i.ss.com/gallery/2/355/88551/17710020.800.jpg,centrsBruòinieku 87,1,27,1,P. kara,225  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/plyavnieki/fdjip.html,https://i.ss.com/gallery/2/370/92314/18462686.800.jpg,PïavniekiJasmuiþas 2,1,33,8,602.,250  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/sarkandaugava/khmpn.html,https://i.ss.com/gallery/2/370/92314/18462770.800.jpg,SarkandaugavaSarkandaugavas 6,3,60,4,P. kara,240  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/other/ibinj.html,https://i.ss.com/gallery/1/170/42488/8497480.800.jpg,CitsLejas 5,2,38,4,P. kara,310  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/gdjep.html,https://i.ss.com/gallery/2/216/53972/10794377.800.jpg,centrsKalçju 74,3,98,4,Jaun.,850  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/kliversala/ffpnf.html,https://i.ss.com/gallery/2/368/91939/18387643.800.jpg,KlîversalaKuìu 26,4,150,3,Jaun.,1800  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/afknl.html,https://i.ss.com/gallery/2/263/65747/13149286.800.jpg,centrsVagonu 22,1,28,2,Renov.,30  €/dienâ
http://ss.com/msg/lv/real-estate/flats/riga/kengarags/dgplj.html,https://i.ss.com/gallery/2/367/91729/18345791.800.jpg,ÍengaragsKaòiera 18,1,35,6,Specpr.,270  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/imanta/aekmj.html,https://i.ss.com/gallery/2/370/92312/18462328.800.jpg,ImantaSlokas 132,2,50,2,602.,330  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/chiekurkalns/fdpgo.html,https://i.ss.com/gallery/2/368/91863/18372468.800.jpg,ÈiekurkalnsÈiekurkalna 3. ðí l. 2,1,32,2,P. kara,180  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/ahcxh.html,https://i.ss.com/gallery/2/363/90586/18117192.800.jpg,centrsLaboratorijas 21/1,3,70,3,103.,420  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/kengarags/gikpx.html,https://i.ss.com/gallery/2/370/92310/18461819.800.jpg,ÍengaragsAglonas 29,2,42,3,Hruðè.,250  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/imanta/afjeo.html,https://i.ss.com/gallery/2/255/63561/12712045.800.jpg,ImantaKooperatîva 11,1,23,2,Priv. m.,230  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/ajjjg.html,https://i.ss.com/gallery/2/328/81959/16391706.800.jpg,PurvciemsIlûkstes 105,2,39,5,103.,240  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/yugla/fdjkf.html,https://i.ss.com/gallery/2/363/90569/18113687.800.jpg,JuglaMurjâòu 48,2,33,5,LT proj.,200  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/gxlxm.html,https://i.ss.com/gallery/2/370/92308/18461540.800.jpg,centrsÌertrûdes 86,1,31,3,P. kara,300  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/dfixp.html,https://i.ss.com/gallery/2/299/74742/14948331.800.jpg,centrsGanîbu d. 13,2,55,6,Jaun.,495  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/cxhmo.html,https://i.ss.com/gallery/2/347/86603/17320423.800.jpg,centrsGanîbu d. 13,2,40,3,Jaun.,395  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/fdxdd.html,https://i.ss.com/gallery/2/365/91022/18204279.800.jpg,centrsGanîbu d. 13,3,70,5,Jaun.,585  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/difxp.html,https://i.ss.com/gallery/2/365/91022/18204334.800.jpg,centrsGanîbu d. 13,1,30,4,Jaun.,360  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/biekensala/cdmmo.html,https://i.ss.com/gallery/2/289/72122/14424330.800.jpg,BieíçnsalaBuru 15,1,33,2,P. kara,170  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/dpilp.html,https://i.ss.com/gallery/2/343/85512/17102394.800.jpg,centrsGanîbu d. 13,2,50,5,Jaun.,485  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/chiekurkalns/dblkx.html,https://i.ss.com/gallery/2/310/77357/15471230.800.jpg,ÈiekurkalnsÈiekurkalna 2. l. 50,1,23,3,Jaun.,275  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/sarkandaugava/chelo.html,https://i.ss.com/gallery/2/370/92307/18461354.800.jpg,SarkandaugavaViestura pr. 39,2,46,5,Specpr.,300  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/gfkom.html,https://i.ss.com/gallery/2/361/90123/18024571.800.jpg,PurvciemsÛnijas 32,1,17,1,Renov.,145  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/afdfm.html,https://i.ss.com/gallery/2/361/90113/18022469.800.jpg,centrsAntonijas 4,3,120,3,P. kara,870  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/ixgeb.html,https://i.ss.com/gallery/2/252/62793/12558538.800.jpg,Ðampçteris-PleskodâleLielirbes 11,3,93,9,Jaun.,650  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/afebl.html,https://i.ss.com/gallery/2/301/75174/15034655.800.jpg,Ðampçteris-PleskodâleLielirbes 11,3,93,8,Jaun.,600  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/bmbclf.html,https://i.ss.com/gallery/2/341/85031/17006046.800.jpg,Ðampçteris-PleskodâleLielirbes 13,4,123,24,Jaun.,1100  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/imanta/gjnig.html,https://i.ss.com/gallery/2/370/92305/18460973.800.jpg,ImantaKurzemes pr. 112,1,27,2,LT proj.,250  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/ziepniekkalns/aidhe.html,https://i.ss.com/gallery/2/370/92305/18460953.800.jpg,ZiepniekkalnsDîía 17,2,58,1,P. kara,270  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/ajipi.html,https://i.ss.com/gallery/2/370/92305/18460847.800.jpg,centrsPçtersalas 19,2,38,1,Hruðè.,250  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/fbnii.html,https://i.ss.com/gallery/2/370/92304/18460677.800.jpg,centrsStabu 96,1,15,4,P. kara,100  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/sarkandaugava/elknp.html,https://i.ss.com/gallery/2/370/92304/18460628.800.jpg,SarkandaugavaGaujienas 2,1,34,1,P. kara,150  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/ilguciems/alofg.html,https://i.ss.com/gallery/2/364/90829/18165654.800.jpg,IïìuciemsSaulgoþu 17,2,43,5,Hruðè.,230  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/fgbcd.html,https://i.ss.com/gallery/2/370/92303/18460442.800.jpg,centrsBarona 109,1,28,4,Renov.,270  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/akold.html,https://i.ss.com/gallery/2/240/59911/11982148.800.jpg,centrsÌertrûdes 93,1,53,4,P. kara,420  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/vecriga/cfede.html,https://i.ss.com/gallery/2/370/92300/18459930.800.jpg,VecrîgaAudçju 2,1,40,3,Jaun.,550  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/hhiom.html,https://i.ss.com/gallery/2/370/92299/18459766.800.jpg,centrsIndrânu 18,3,65,3,P. kara,340  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/cnipg.html,https://i.ss.com/gallery/2/370/92278/18455595.800.jpg,centrsMatîsa 65,3,100,5,P. kara,600  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/bifgd.html,https://i.ss.com/gallery/2/348/86818/17363514.800.jpg,centrsÌertrûdes 39,3,105,6,Renov.,680  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/cbghp.html,https://i.ss.com/gallery/2/351/87600/17519977.800.jpg,centrsPçrnavas 17,1,24,3,Jaun.,300  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/cxhjg.html,https://i.ss.com/gallery/2/360/89980/17995970.800.jpg,centrsLâèplçða 70,3,65,3,P. kara,600  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/imanta/djmhl.html,https://i.ss.com/gallery/2/228/56822/11364207.800.jpg,ImantaAnniòmuiþas 38,2,67,2,Jaun.,500  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/imanta/dhcpg.html,https://i.ss.com/gallery/2/358/89430/17885867.800.jpg,ImantaKurzemes pr. 30,2,50,3,LT proj.,320  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/bkbhig.html,https://i.ss.com/gallery/2/370/92293/18458508.800.jpg,centrsMatîsa 40,Citi,20,2,P. kara,135  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/kengarags/djjxp.html,https://i.ss.com/gallery/2/368/91763/18352552.800.jpg,ÍengaragsSalaspils 22,1,38,4,Renov.,300  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/dbfcp.html,https://i.ss.com/gallery/2/328/81899/16379657.800.jpg,PurvciemsÛnijas 67,3,83,2,Jaun.,830  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/fbfgg.html,https://i.ss.com/gallery/2/353/88096/17619053.800.jpg,PurvciemsÛnijas 67,1,38,3,Jaun.,390  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/epijj.html,https://i.ss.com/gallery/2/361/90021/18004159.800.jpg,PurvciemsÛnijas 67,2,55,4,Jaun.,530  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/ecxmg.html,https://i.ss.com/gallery/2/370/92290/18457850.800.jpg,Ðampçteris-PleskodâleKauguru 10,1,25,1,Renov.,330  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/exjdg.html,https://i.ss.com/gallery/2/306/76267/15253244.800.jpg,centrsRaiòa bulv. 3,3,80,1,Renov.,550  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/vecriga/dncmk.html,https://i.ss.com/gallery/2/355/88517/17703214.800.jpg,VecrîgaAudçju 14,2,107,4,Jaun.,1100  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/imanta/cdemm.html,https://i.ss.com/gallery/2/364/90865/18172874.800.jpg,ImantaSlokas 199,2,48,8,602.,230  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/mangali/aefhx.html,https://i.ss.com/gallery/2/362/90360/18071903.800.jpg,MangaïiMores 5,1,30,2,LT proj.,170  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/beeigf.html,https://i.ss.com/gallery/2/261/65143/13028476.800.jpg,centrsTallinas 38,3,75,2,P. kara,400  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/ajlli.html,https://i.ss.com/gallery/2/350/87365/17472858.800.jpg,centrsIeroèu 10,1,26,1,P. kara,220  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/affoo.html,https://i.ss.com/gallery/2/370/92286/18457049.800.jpg,VecmîlgrâvisAnitas 5,2,61,1,Staïina,250  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/becgho.html,https://i.ss.com/gallery/2/370/92285/18456946.800.jpg,centrsBrîvîbas 134,2,57,3,P. kara,430  €/mçn.
