Link, Pic, Address, Rooms, Sqrm, Floor, Type, Price
http://ss.com/msg/lv/real-estate/flats/riga/zolitude/bpkgm.html,https://i.ss.com/gallery/2/337/84024/16804717.800.jpg,ZolitûdeLejiòa 7,3,75,9,119.,65999  €
http://ss.com/msg/lv/real-estate/flats/riga/yugla/aeohh.html,https://i.ss.com/gallery/2/366/91400/18279901.800.jpg,JuglaKvçles 24,1,35,8,Specpr.,34500  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/emcjc.html,https://i.ss.com/gallery/2/313/78028/15605545.800.jpg,centrsBirznieka-Upîða 29,3,79,4,Renov.,197000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/femhk.html,https://i.ss.com/gallery/2/366/91430/18285985.800.jpg,centrsTallinas 86,3,61,3,Renov.,123000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/ecpdf.html,https://i.ss.com/gallery/2/279/69689/13937629.800.jpg,centrsÌertrûdes 99,2,39,2,P. kara,33000  €
http://ss.com/msg/lv/real-estate/flats/riga/ilguciems/cnhgh.html,https://i.ss.com/gallery/2/366/91430/18285831.800.jpg,IïìuciemsMotoru 3,1,24,2,Specpr.,24500  €
http://ss.com/msg/lv/real-estate/flats/riga/ilguciems/gbpbc.html,https://i.ss.com/gallery/2/348/86881/17376187.800.jpg,IïìuciemsPalangas 5,3,66,5,LT proj.,55000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/bfxedj.html,https://i.ss.com/gallery/1/163/40546/8109143.800.jpg,centrsValdemâra 37,3,109,4,Renov.,277695  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/djhdf.html,https://i.ss.com/gallery/2/330/82411/16482039.800.jpg,centrsBriâna 4,2,61,3,Renov.,140070  €
http://ss.com/msg/lv/real-estate/flats/riga/agenskalns/gmlkd.html,https://i.ss.com/gallery/2/247/61652/12330295.800.jpg,ÂgenskalnsMelnsila 14,3,49,2,Renov.,66000  €
http://ss.com/msg/lv/real-estate/flats/riga/ilguciems/hfmbf.html,https://i.ss.com/gallery/2/366/91428/18285428.800.jpg,IïìuciemsDaugavgrîvas 55,3,48,1,Priv. m.,26900  €
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/ahhxh.html,https://i.ss.com/gallery/2/335/83511/16702168.800.jpg,PurvciemsPûces 49,2,86,5,Jaun.,125000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/afjli.html,https://i.ss.com/gallery/2/366/91427/18285312.800.jpg,centrsDzirnavu 132,2,56,2,P. kara,46000  €
http://ss.com/msg/lv/real-estate/flats/riga/mezhapark/bdkep.html,https://i.ss.com/gallery/2/366/91426/18285182.800.jpg,MeþaparksOstas pr. 7,2,45,5,LT proj.,35500  €
http://ss.com/msg/lv/real-estate/flats/riga/mezhciems/hcmkx.html,https://i.ss.com/gallery/2/366/91425/18284946.800.jpg,MeþciemsDruvienas 36,2,50,5,602.,50500  €
http://ss.com/msg/lv/real-estate/flats/riga/ilguciems/bghie.html,https://i.ss.com/gallery/2/323/80551/16110110.800.jpg,IïìuciemsDaugavgrîvas 68a,2,66,5,Staïina,65000  €
http://ss.com/msg/lv/real-estate/flats/riga/ilguciems/dllef.html,https://i.ss.com/gallery/2/345/86007/17201324.800.jpg,IïìuciemsPalangas 1,2,49,3,LT proj.,42000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/bcileg.html,https://i.ss.com/gallery/1/32/7887/1577250.800.jpg,centrsAlauksta 12,1,26,2,P. kara,32000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/bdpgdd.html,https://i.ss.com/gallery/2/301/75138/15027505.800.jpg,centrsAlauksta 12,1,26,1,P. kara,32000  €
http://ss.com/msg/lv/real-estate/flats/riga/yugla/nlkdl.html,https://i.ss.com/gallery/2/336/83784/16756790.800.jpg,JuglaJuglas 33,2,45,5,Hruðè.,37000  €
http://ss.com/msg/lv/real-estate/flats/riga/agenskalns/ccmpk.html,https://i.ss.com/gallery/2/366/91363/18272437.800.jpg,ÂgenskalnsMûkusalas 29,2,46,4,Jaun.,110000  €
http://ss.com/msg/lv/real-estate/flats/riga/yugla/aflbj.html,https://i.ss.com/gallery/2/349/87209/17441684.800.jpg,JuglaMurjâòu 15a,4,271,3,Priv. m.,215000  €
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/fxpxg.html,https://i.ss.com/gallery/2/366/91424/18284630.800.jpg,PurvciemsPûces 43,2,83,5,Jaun.,98000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/ebekd.html,https://i.ss.com/gallery/2/318/79344/15868612.800.jpg,centrsBaznîcas 39a,6,227,4,P. kara,450000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/bgmhx.html,https://i.ss.com/gallery/2/366/91420/18283945.800.jpg,centrsBruòinieku 147,3,75,1,P. kara,31500  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/cihlg.html,https://i.ss.com/gallery/2/327/81502/16300358.800.jpg,centrsStabu 71,1,21,-1,P. kara,20000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/afgjn.html,https://i.ss.com/gallery/2/327/81505/16300975.800.jpg,centrsMarijas 15,4,92,5,P. kara,134000  €
